time,UPSTREAM,DOWNSTREAM,GAGE-1
30.00000000000,-1218.127783014422,-801.2447095983076,2519.372492612730
60.00000000000,-877.9886079328938,-523.4840855600742,1901.472693492964
90.00000000000,-1362.288898650037,-942.7233323061016,2805.012230956135
120.0000000000,-2015.180452951189,-1484.725904608480,3999.906357559670
150.0000000000,-2511.959104994622,-1887.341913693654,4899.301018688281
180.0000000000,-2672.233280405604,-2007.213296137124,5179.446576542734
210.0000000000,-2442.747461650823,-1804.372219901436,4747.119681552253
240.0000000000,-1908.579975108766,-1344.783159642914,3753.363134751688
270.0000000000,-1216.189715283682,-769.8192856876526,2486.009000971338
300.0000000000,-526.5526654795908,-232.7791705697078,1259.331836049299
330.0000000000,.5181237087492530,117.8610097000381,381.6208665912121
360.0000000000,230.3913715190807,218.7557119614754,50.85291651944350
390.0000000000,87.16310165490782,137.1182867776664,275.7186115674256
420.0000000000,-397.6227243608646,-203.0063886940381,1100.629113054903
450.0000000000,-1103.696293905674,-758.9563879339635,2362.652681839636
480.0000000000,-1854.268035967353,-1362.616226432945,3716.884262400301
510.0000000000,-2435.072258747405,-1829.637442070608,4764.709700818014
540.0000000000,-2668.083470581651,-2006.645424838986,5174.728895420639
570.0000000000,-2498.411179895165,-1853.039693594748,4851.450873489913
600.0000000000,-2001.912281182725,-1424.571114893958,3926.483396076687
630.0000000000,-1324.259040833351,-857.6025684269359,2681.861609260291
660.0000000000,-622.8660828641754,-304.4113803849530,1427.277463249126
690.0000000000,-62.71484857812644,81.09634456926351,481.6185040088645
720.0000000000,218.9022177372665,217.0229318140396,64.07485044869361
750.0000000000,132.3028566028616,163.8176054739442,203.8795379231951
