time,HEADWATER,TAILWATER,GAGE_1
30.00000000000,-1489.209882379979,-1039.743387480741,3030.496748271076
60.00000000000,-1123.248992626083,-780.6379100089010,2405.485566838892
90.00000000000,-1636.803353838674,-1154.960612483806,3293.238861964692
120.0000000000,-2371.843486804758,-1665.044599902775,4538.155323921445
150.0000000000,-2962.462128032772,-2063.211745189944,5526.739332906966
180.0000000000,-3212.028004026756,-2220.143683753003,5933.174144538522
210.0000000000,-3026.119660506225,-2075.779650213462,5603.034843845729
240.0000000000,-2444.832054916305,-1663.827079442376,4610.058703705339
270.0000000000,-1620.724054312377,-1095.145103791458,3217.491915771734
300.0000000000,-768.3381384467601,-519.1798219961902,1789.139461816607
330.0000000000,-107.5336884297416,-86.60850735253918,695.4109447094671
360.0000000000,194.5534630051690,94.66765828758500,211.5576348734819
390.0000000000,60.18865067802530,-8.937495779758097,449.7496866095972
420.0000000000,-480.6112692002677,-383.1909292699549,1365.190371334231
450.0000000000,-1290.927530264780,-939.1655648638150,2731.558975185438
480.0000000000,-2158.179035034808,-1528.573204161184,4188.060791547577
510.0000000000,-2852.227602964672,-1993.766237419925,5347.087350781913
540.0000000000,-3187.265441674284,-2207.430215351481,5895.696691643617
570.0000000000,-3076.635261279348,-2113.598987428637,5691.338823443590
600.0000000000,-2550.557997972528,-1738.137393026356,4790.052586015565
630.0000000000,-1751.129476275104,-1184.415948447739,3437.144724136741
660.0000000000,-888.7819032712812,-599.7322429905486,1990.156581797472
690.0000000000,-186.9015679446600,-137.2957956359712,825.5407289530482
720.0000000000,176.3355061470490,85.58309567274031,238.9070665618727
750.0000000000,108.2664680090604,24.80806155931753,367.8560921585016
