,twgw_0_1042,twgw_0_1590,twgw_0_1960,twgw_0_202,twgw_0_2728,twgw_0_2957,twgw_0_3076,twgw_0_310,twgw_0_3385,twgw_0_4015,twgw_0_4369,twgw_0_4518,twgw_2_1042,twgw_2_1590,twgw_2_1960,twgw_2_202,twgw_2_2728,twgw_2_2957,twgw_2_3076,twgw_2_310,twgw_2_3385,twgw_2_4015,twgw_2_4369,twgw_2_4518
2018-11-27,34.44543777070513,33.96442879981434,33.910241016017565,34.2241146423585,33.84785254978284,33.81095751851433,33.92127492677792,34.10219778462036,33.81697647238872,33.73986065199493,33.70637048586444,33.65520883852151,34.4405501596586,33.96439639281804,33.9069476014966,34.21675565745028,33.84778552105874,33.81154204842627,33.91241985151392,34.10110656913196,33.81512068724877,33.73700716481507,33.70551867228568,33.65314101491235
2018-12-27,33.99458477200867,33.745583929292266,33.730297892112496,33.92995737014418,33.639883954409214,33.654859207890475,33.64342180708767,33.9040421098344,33.57948615043284,33.596488185506885,33.54020095714,33.517801830215326,33.98983826246903,33.74636408907105,33.727762185300236,33.92649239002589,33.64070511586968,33.647622225934256,33.639367056088815,33.900644449103886,33.57820116875695,33.5938263158154,33.53936418698281,33.51783186434143
2019-01-26,34.10383658752834,33.84407818537943,33.8179655678379,34.030180837410555,33.740846729906096,33.736442978236155,33.75590177764832,33.984691777229926,33.68716558869428,33.67778517110106,33.62857494359315,33.596286676096604,34.09921674013465,33.8439190130549,33.81494523587523,34.02590491412142,33.740971857204435,33.73286773116772,33.750934729517276,33.981740194261484,33.68535093287111,33.674362139248224,33.62718694183843,33.594740966885695
2019-02-25,34.746426556940854,34.23321221880733,34.14854113892877,34.499074033099205,34.12265372592652,34.030645017596584,34.22887318426729,34.321686353414485,34.11083089364525,33.957967793071276,33.94684396523922,33.86789002119441,34.74187965263963,34.23060550525011,34.143894383944186,34.489447169415,34.12066782571815,34.042044157798216,34.217430201011496,34.322775920970564,34.107516492911714,33.95364043258549,33.944470067850176,33.86150264578553
2019-03-27,35.74700009431314,34.8031266651569,34.626877468726,35.20696054692364,34.677180480139306,34.449873704563736,34.93160060673816,34.81651402529864,34.73245455483529,34.35350434637964,34.405662185305935,34.255297317169536,35.74246604869144,34.797209613739405,34.61990091196074,35.188797112051496,34.67220946075445,34.485216884818314,34.90970529730906,34.82720766776445,34.72706542882614,34.34994713836784,34.40210747143306,34.24211142721048
2019-04-26,36.836728000677276,35.400177256561754,35.12362069453292,35.963226929175775,35.25553864863853,34.880707713278866,35.67621473978456,35.33360940219049,35.385847336350444,34.7578563926346,34.88270522638115,34.655235196799225,36.83217828207846,35.390954157776626,35.11427425721331,35.935588092261376,35.247491059660895,34.943147060012144,35.64262490197426,35.35830810257731,35.378361072177036,34.75726328141304,34.87808272821773,34.63510477436992
2019-05-26,37.73063402658388,35.87015029456293,35.51126753343131,36.57106877801539,35.708814427680565,35.214030791545476,36.269750204342884,35.74052505806414,35.90226238219303,35.06909928398042,35.2558727141051,34.96608714368751,37.726054765800164,35.85848959532837,35.5001433707347,36.53552887477508,35.698406503392235,35.298936735205935,36.22633283318609,35.77877521398149,35.89320920725679,35.07224537416284,35.25057353267366,34.94069734834886
2019-06-25,38.19955465261129,36.09455221520173,35.69313806231949,36.875820182416966,35.92231070790616,35.36792642607913,36.55984130594795,35.93754719296801,36.14939116940437,35.21030232776975,35.428731077707056,35.107606309550725,38.19490563562289,36.081968539048546,35.68124618724784,36.83605156121308,35.91089296881233,35.463735708844595,36.511104528598395,35.983237472912926,36.13970195751585,35.21574648270897,35.42333743886439,35.07996039847502
2019-07-25,38.12846191246337,36.0198078949875,35.62651030257668,36.803605998422434,35.8447907235895,35.30690866436784,36.475339894510974,35.87938108739171,36.066910890415905,35.148866284183455,35.35908678608638,35.0455664432706,38.12369370295911,36.00805426075924,35.615012258427576,36.764371644461235,35.833977673871615,35.3987488403709,36.42719093549355,35.923254805986154,36.05767725669625,35.15387115560569,35.35421404790626,35.01922708011406
2019-08-24,37.53596145084795,35.66480362176293,35.328026995464164,36.37288555434896,35.4958773634887,35.0459262121799,36.037942114942865,35.58021230431858,35.67596168527643,34.89987417198247,35.06502403332327,34.796015067774974,37.53104808300775,35.655414863610325,35.31799380328151,36.33879495328828,35.48712248661574,35.12020350333413,35.996120252736986,35.61387403680783,35.668158598107894,34.90214088627069,35.061152124041,34.77421962156427
2019-09-23,36.57366025750878,35.11904332512539,34.87210496833777,35.69309914920958,34.964014741741984,34.64912104125227,35.360104717423006,35.11293476931396,35.07686736561719,34.52490167988209,34.622529896214616,34.423341632561815,36.56864906687159,35.11292164534863,34.86427335119699,35.66738421116181,34.95821615868832,34.697764614200906,35.32862684328808,35.13245464432592,35.07109876499542,34.523965842671565,34.61986274276621,34.408165281095144
2019-10-23,35.48623016658464,34.51973583281379,34.37243553600432,34.93625887658061,34.3831098391221,34.214144902982724,34.61425754170186,34.59244213144732,34.42166349766373,34.116282148709914,34.14370153047464,34.02136008294119,35.48122359179773,34.51693065629317,34.366995594551376,34.91995629961822,34.38038566277858,34.23665458440343,34.59439308087438,34.59946057617078,34.418004124884185,34.11350076334065,34.142117785543014,34.013169655101755
2019-11-22,34.55517595068124,34.02151158877415,33.95765285995802,34.298222254349795,33.90266028881619,33.852342366285626,33.99275164210563,34.15307749584758,33.87901489096748,33.77833050353471,33.750857273815704,33.69235930660354,34.550268445935416,34.02121565623902,33.95414551102076,34.28992218561658,33.90233350138393,33.855057684756666,33.9827392231127,34.152650244510745,33.87698462475605,33.77541702827999,33.74995095951169,33.68968643426022
2019-12-22,34.02791300499067,33.758823194261225,33.74077537234813,33.94979218681371,33.65201292631908,33.6636471335139,33.661039641962226,33.9165763595604,33.59380980742454,33.604171716873694,33.549382557216134,33.525073167032815,34.02314528848254,33.7595923916749,33.7382047163954,33.94603202384222,33.652800371048926,33.65685810294422,33.65661640241974,33.91333656199107,33.59250887795497,33.601535062491095,33.54858175036542,33.52501854723492
2020-01-21,34.05087511448196,33.809023902626485,33.78777190214107,33.98966679522135,33.70603654278983,33.709135634755,33.71400522709089,33.9546938876842,33.64899278728678,33.65141470954889,33.59919324727075,33.57088984171629,34.0462381903436,33.809112907821095,33.78490296128694,33.98582050518951,33.70636458517919,33.70427466728938,33.7095497396493,33.951497472501764,33.647325672043515,33.64815854214177,33.59791996704761,33.5698103948034
