,twgw_0_1042,twgw_0_1590,twgw_0_1960,twgw_0_202,twgw_0_2728,twgw_0_2957,twgw_0_3076,twgw_0_310,twgw_0_3385,twgw_0_4015,twgw_0_4369,twgw_0_4518,twgw_2_1042,twgw_2_1590,twgw_2_1960,twgw_2_202,twgw_2_2728,twgw_2_2957,twgw_2_3076,twgw_2_310,twgw_2_3385,twgw_2_4015,twgw_2_4369,twgw_2_4518
2018-01-31,36.12209946147637,34.939482200984855,34.73147840489556,35.42307536582959,34.79944724277968,34.533775045867515,35.11870450611375,34.946342755659394,34.880703337540325,34.4243044122602,34.49648077347432,34.32453091531734,36.11731440310541,34.93359477536397,34.72416005246058,35.40147380158543,34.794183394438406,34.574740249358946,35.09244628285976,34.96082639753765,34.87520888407361,34.42193146652527,34.493422432883264,34.310623021328276
2018-03-02,35.70061407470648,34.68507732990119,34.51637706011413,35.11533592116419,34.55011804501592,34.34446808685823,34.80862169357207,34.72848894003499,34.60308429199283,34.243802081828655,34.28754221043803,34.14661989734797,35.695792537250114,34.68082814932916,34.510151764903874,35.09731855414757,34.54627527937268,34.37422663962946,34.78669667079775,34.73800801570076,34.59858867039216,34.24086464199698,34.28519272887236,34.13596104327715
2018-04-01,36.25267462024286,35.04131454512552,34.82043031635011,35.53352188684062,34.90184018727635,34.6139139109741,35.23652326912448,35.03050328035341,34.99131212963399,34.50333772253856,34.585719147646714,34.40292950603382,36.24793020075049,35.034550294177286,34.81259497926264,35.5108690397667,34.89589377604495,34.65956475342923,35.20909911598056,35.046848222175115,34.985318881270366,34.50105788893369,34.5821224033608,34.387426939150956
2018-05-01,37.13619053556213,35.544874212574186,35.241468619109234,36.159117610254114,35.39278395045402,34.98066484237838,35.86100348745704,35.46185694833025,35.543738920826044,34.84985746439485,34.99400053257404,34.746929913019336,37.13153386599082,35.535072717071984,35.23159596027812,36.12880130067297,35.38410358472786,35.04980136115897,35.824122366894336,35.490702627311755,35.53585679909104,34.85038783377284,34.9892914604842,34.725327656975104
2018-05-31,37.88762690987753,35.94391361540872,35.57091897047583,36.67243467844507,35.77855138392085,35.26428869538801,36.36488706099072,35.805855255563685,35.98301215950353,35.11509686721781,35.312168348890914,35.01216216864741,37.8829926961633,35.93197719283623,35.55953990862946,36.63547526572253,35.76782822053848,35.352732935981884,36.319711631521955,35.84652552450652,35.97376511124936,35.11897474785472,35.30684663114343,34.98604253871572
2018-06-30,38.24499208260992,36.1108933027585,35.705598746847244,36.90201273461739,35.93691899792557,35.377817949349506,36.5823417813851,35.95297490870885,36.16719427077553,35.218702593039424,35.439732987186524,35.1160160001783,38.24030659023013,36.09831516974464,35.69366653872904,36.86181744794051,35.925465449834476,35.47437945685144,36.533070494584464,35.999314098158756,36.15749335018933,35.22436020489216,35.434392308237165,35.08827568264657
2018-07-30,38.0778237947532,35.985763707777316,35.597474621338776,36.76447939047563,35.81080930113514,35.28119281119537,36.43412331451367,35.85133918498193,36.02928523524305,35.123969367442236,35.32994450335199,35.02052808009911,38.07302419099105,35.97427744018989,35.586124879132335,36.72567475585981,35.80021504930091,35.371298474791146,36.38650179913649,35.89424409650606,36.02020748122741,35.12870746462349,35.32520194983102,34.994663378140686
2018-08-29,37.41254786823632,35.59306835355146,35.26793955368941,36.2846173028602,35.425674564262,34.99352166158994,35.94909136170807,35.51929737977474,35.5970305475461,34.85013147321049,35.00623384244494,34.74632650088688,37.40761116140682,35.5841318109574,35.25819781949705,36.251599717739886,35.41732168708127,35.064332252352834,35.90859595696783,35.550980871046846,35.58950506723108,34.8519027940107,35.00253971217324,34.72542166349257
2018-09-28,36.412643766962574,35.02917433636056,34.79712185758427,35.58028776071278,34.87670114804112,34.58387072527175,35.248353155234575,35.03539507048344,34.97844791892963,34.463458986500214,34.55032294122424,34.36265990472083,36.40762447850902,35.023568726100606,34.78965126450156,35.55597014052925,34.87137534768151,34.62845286266577,35.218601668080424,35.05282187956392,34.97300475917112,34.462132547815465,34.54783435498199,34.3485525491016
2018-10-28,35.330132962533405,34.43499706157304,34.301815908377606,34.828474910689444,34.30120286445573,34.152595776798194,34.50868996042248,34.51819699969071,34.32921702976357,34.05863061460964,34.076447448631356,33.964963115803535,35.3251349752487,34.43263830778222,34.29671009218648,34.813517265835124,34.29889925873517,34.1716020413065,34.490483908339364,34.52374691762486,34.325844624262096,34.05573792134207,34.07499749598257,33.95773346097223
